college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Genesis Career College-Lebanon,1154,TN,Private,Unknown,0.7778,98,18700
Southwest College For The Deaf,1154,TX,Public,Unknown,0.7778,47,16780
Fortis College-Richmond,1154,VA,Private,Unknown,0.7778,399,16289
Midwest College Of Oriental Medicine-Racine,1154,WI,Private,Unknown,0.7778,3,18700
Hacienda La Puente Adult Education,1154,CA,Public,Unknown,0.8352,496,18700
La Belle Beauty Academy,1154,FL,Private,Unknown,0.7778,142,18700
Hawaii Community College,1154,HI,Public,Unknown,0.7778,1470,16788
Robert Fiance Beauty Schools-North Plainfield,1154,NJ,Private,Unknown,0.7778,160,18700
Long Island Beauty School-Hauppauge,1154,NY,Private,Unknown,0.7778,119,18700
Buckeye Joint Vocational School,1154,OH,Public,Unknown,0.7778,80,18700
Sandusky Career Center,1154,OH,Public,Unknown,0.7778,81,18700
Greater Altoona Career & Technology Center,1154,PA,Public,Unknown,0.7778,174,18700
Central Texas Beauty College-Temple,1154,TX,Private,Unknown,0.7778,120,18700
Erie 2 Chautauqua Cattaraugus Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,31,18700
Empire Beauty School-Brooklyn,1154,NY,Private,Unknown,0.7778,161,18700
Eastern New Mexico University Ruidoso Branch Community College,1154,NM,Public,Unknown,0.7778,409,2754
Uei College-Ontario,1154,CA,Private,Unknown,0.7778,930,18700
Uei College-Reseda,1154,CA,Private,Unknown,0.7778,1056,18700
Beacon College,1154,FL,Private,Unknown,0.6037,497,71142
Acupuncture And Integrative Medicine College-Berkeley,1154,CA,Private,Unknown,0.7778,1107,18700
Estrella Mountain Community College,1154,AZ,Public,Unknown,0.7778,6424,3822
Heartland Community College,1154,IL,Public,Unknown,0.7778,2991,11340
University Of The Potomac-Washington Dc Campus,1154,DC,Private,Unknown,0.7778,266,7160
Rabbi Jacob Joseph School,1154,NJ,Private,Unknown,0.9032,96,22600
The Salon Professional Academy-Melbourne,1154,FL,Private,Unknown,0.7778,132,18700
Albert Einstein College Of Medicine,1154,NY,Private,Unknown,0.7778,1107,18700
Fortis Institute-Scranton,1154,PA,Private,Unknown,0.7778,205,15696
Everglades University,1154,FL,Private,Unknown,0.8644,2369,22768
Seminar L'Moros Bais Yaakov,1154,NY,Private,Unknown,0.879,371,11800
Herzing University-Orlando,1154,FL,Private,Unknown,0.8993,700,13420
College Of Biblical Studies-Houston,1154,TX,Private,Unknown,0.7778,482,12950
Mid-Eastctc-Adult Education,1154,OH,Public,Unknown,0.7778,268,18700
Polaris Career Center,1154,OH,Public,Unknown,0.7778,230,18700
P&A Scholars Beauty School,1154,MI,Private,Unknown,0.7778,135,18700
Sharp'S Academy Of Hairstyling,1154,MI,Private,Unknown,0.7778,26,18700
The College Of Health Care Professions-Northwest,1154,TX,Private,Unknown,0.7778,3794,18700
School Of Professional Horticulture New York Botanical Garden,1154,NY,Private,Unknown,0.75,19,18700
Uei College-Gardena,1154,CA,Private,Unknown,0.7778,1444,18700
Asian-American International Beauty College,1154,CA,Private,Unknown,0.7778,413,18700
Copper Mountain Community College,1154,CA,Public,Unknown,0.7778,1090,2052
Diversified Vocational College,1154,CA,Private,Unknown,0.7778,224,18700
Uei College-Fresno,1154,CA,Private,Unknown,0.7778,974,18700
Santiago Canyon College,1154,CA,Public,Unknown,0.7778,10613,2664
Southern California Institute Of Technology,1154,CA,Private,Unknown,0.875,533,21955
Soka University Of America,1360,CA,Private,Unknown,0.6952,464,55064
Summit College,1154,CA,Private,Unknown,0.7778,1210,18700
Advance Beauty College,1154,CA,Private,Unknown,0.7778,448,18700
Los Angeles Pacific College,1154,CA,Private,Unknown,0.7778,61,8323
World Mission University,1154,CA,Private,Unknown,0.7778,180,7520
Yo San University Of Traditional Chinese Medicine,1154,CA,Private,Unknown,0.7778,1107,18700
John Amico School Of Hair Design,1154,IL,Private,Unknown,0.7778,175,18700
Delta College Inc,1154,LA,Private,Unknown,0.7778,153,18700
Tri-State Cosmetology Institute,1154,TX,Private,Unknown,0.7778,147,18700
Frontier Community College,1154,IL,Public,Unknown,0.7778,292,11730
Lincoln Trail College,1154,IL,Public,Unknown,0.7778,360,11730
Wabash Valley College,1154,IL,Public,Unknown,0.7778,526,11730
Brookline College-Tempe,1154,AZ,Private,Unknown,0.7778,294,18700
Schiller International University,1154,FL,Private,Unknown,0.7778,35,13680
Coconino Community College,1154,AZ,Public,Unknown,0.7778,2575,4306
Brillare Beauty Institute,1154,TN,Private,Unknown,0.7778,259,18700
Pima Medical Institute-Denver,1154,CO,Private,Unknown,0.7778,764,18700
Ohio State School Of Cosmetology-Heath,1154,OH,Private,Unknown,0.7778,92,18700
Yeshivas Novominsk,1154,NY,Private,Unknown,0.902,163,17880
Southern Careers Institute-Corpus Christi,1154,TX,Private,Unknown,0.7778,505,18700
Rabbinical College Of Ohr Shimon Yisroel,1154,NY,Private,Unknown,0.7778,233,27850
Carroll Community College,1154,MD,Public,Unknown,0.7778,2006,8688
Galen College Of Nursing-Tampa Bay,1154,FL,Private,Unknown,0.7778,1601,17750
Galen College Of Nursing-San Antonio,1154,TX,Private,Unknown,0.7778,3206,17750
Sarasota School Of Massage Therapy,1154,FL,Private,Unknown,0.7778,76,18700
Schuyler Steuben Chemung Tioga Allegany Boces,1154,NY,Public,Unknown,0.7778,170,18700
Delaware Chenango Madison Otsego Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,34,18700
Central Susquehanna Intermediate Unit Lpn Career,1154,PA,Public,Unknown,0.8387,87,18700
Myotherapy Massage College,1154,UT,Private,Unknown,0.7778,61,18700
Cosmetology Training Center,1154,LA,Private,Unknown,0.7778,101,18700
Stage One-The Hair School,1154,LA,Private,Unknown,0.7778,79,18700
Empire Beauty School-Malden,1154,MA,Private,Unknown,0.7778,101,18700
Stephanie Moss Academy,1154,NE,Private,Unknown,0.7778,220,18700
Orlo School Of Hair Design And Cosmetology,1154,NY,Private,Unknown,0.7778,60,18700
Eastland-Fairfield Career And Technical Schools,1154,OH,Public,Unknown,0.7778,84,18700
Empire Beauty School-Cincinnati,1154,OH,Private,Unknown,0.7778,175,18700
Mahoning County Career And Technical Center,1154,OH,Public,Unknown,0.7778,74,18700
Pickaway Ross Joint Vocational School District,1154,OH,Public,Unknown,0.7778,237,18700
Pioneer Career And Technology Center,1154,OH,Public,Unknown,0.7778,68,18700
Raphael'S School Of Beauty Culture Inc-Boardman,1154,OH,Private,Unknown,0.7778,131,18700
Scioto County Career Technical Center,1154,OH,Public,Unknown,0.7778,125,18700
Pacific Bible College,1154,OR,Private,Unknown,0.9286,44,6880
Lake Erie College Of Osteopathic Medicine,1154,PA,Private,Unknown,0.7778,10,18700
Ucas University Of Cosmetology Arts & Sciences-Harlingen,1154,TX,Private,Unknown,0.7778,82,18700
Kaistar,1154,WA,Private,Unknown,0.7778,151,18700
Empire Beauty School-Green Bay,1154,WI,Private,Unknown,0.7778,85,18700
Warren County Career Center,1154,OH,Public,Unknown,0.7778,206,18700
Paul Mitchell The School-Wichita,1154,KS,Private,Unknown,0.7778,172,18700
Pinnacle Institute Of Cosmetology,1154,NC,Private,Unknown,0.7778,55,18700
Southern Careers Institute-Pharr,1154,TX,Private,Unknown,0.7778,629,18700
Florida National University-Main Campus,1154,FL,Private,Unknown,0.7778,2354,16288
Georgia Institute Of Cosmetology,1154,GA,Private,Unknown,0.7778,250,18700
Nouvelle Institute,1154,FL,Private,Unknown,0.7778,54,18700
Franklin Technology Center Adult Education,1154,MO,Public,Unknown,0.7778,57,18700
Erikson Institute,1154,IL,Private,Unknown,0.7778,1107,18700
South Texas College,1154,TX,Public,Unknown,0.7778,16131,6820
Pike County Joint Vocational School District,1154,OH,Public,Unknown,0.7778,38,18700
Lorain County Joint Vocational School District,1154,OH,Public,Unknown,0.7778,108,18700
Roger Williams University School Of Law,1154,RI,Private,Unknown,0.7778,1107,18700
California State University-Monterey Bay,1154,CA,Public,Unknown,0.9483,5811,28719
Ohio Media School-Valley View,1154,OH,Private,Unknown,0.7778,74,18700
Eine Inc,1154,MA,Private,Unknown,0.7778,40,18700
Marian Health Careers Center-Los Angeles Campus,1154,CA,Private,Unknown,0.7778,154,18700
Cleveland Clinic Health System-School Of Diagnostic Imaging,1154,OH,Private,Unknown,0.7778,31,18700
Academy For Nursing And Health Occupations,1154,FL,Private,Unknown,0.7778,559,18700
Shawsheen Valley School Of Practical Nursing,1154,MA,Public,Unknown,0.7778,35,18700
Shear Ego International School Of Hair Design,1154,NY,Private,Unknown,0.7778,133,18700
Remington College-Memphis Campus,1154,TN,Private,Unknown,0.7778,391,20047
Fayette Institute Of Technology,1154,WV,Public,Unknown,0.7778,36,18700
Capella University,1154,MN,Private,Unknown,0.7778,16173,14858
College Of Menominee Nation,1154,WI,Private,Unknown,0.7778,199,7012
Leech Lake Tribal College,1154,MN,Public,Unknown,0.7778,243,5708
Spartan College Of Aeronautics & Technology,1154,CA,Private,Unknown,0.7778,319,18700
Yukon Beauty College Inc,1154,OK,Private,Unknown,0.7778,26,18700
United Education Institute-Morrow,1154,GA,Private,Unknown,0.7778,1119,18700
Artistic Academy Of Hair Design,1154,NJ,Private,Unknown,0.7778,93,18700
Motoring Technical Training Institute,1154,MA,Private,Unknown,0.7778,328,18700
Baldwin Beauty School-North Austin,1154,TX,Private,Unknown,0.7778,84,18700
Jean Madeline Aveda Institute,1154,PA,Private,Unknown,0.7778,239,18700
Tricoci University Of Beauty Culture-Indianapolis,1154,IN,Private,Unknown,0.7778,341,18700
Trine University-Regional/Non-Traditional Campuses,1154,IN,Private,Unknown,0.2162,273,10476
Pennsylvania Highlands Community College,1154,PA,Public,Unknown,0.7778,719,11360
Nevada Career Institute,1154,NV,Private,Unknown,0.7778,396,18700
Phillips Theological Seminary,1154,OK,Private,Unknown,0.7778,1107,18700
Empire Beauty School-Hanover,1154,PA,Private,Unknown,0.7778,50,18700
Industrial Management Training Institute,1154,CT,Private,Unknown,0.7778,29,18700
Allen School-Jamaica,1154,NY,Private,Unknown,0.7778,84,18700
Premiere Career College,1154,CA,Private,Unknown,0.7778,106,18700
The University Of Texas Md Anderson Cancer Center,1154,TX,Public,Unknown,0.7778,322,18700
Paul Mitchell The School-Huntsville,1154,AL,Private,Unknown,0.7778,102,18700
Estes Institute Of Cosmetology Arts And Science,1154,CA,Private,Unknown,0.7778,41,18700
Baldwin Park Adult & Community Education,1154,CA,Public,Unknown,0.7778,435,18700
Ventura Adult And Continuing Education,1154,CA,Public,Unknown,0.7778,52,18700
Ct Aerotech,1154,CT,Public,Unknown,0.7778,34,18700
Stratford School For Aviation Maintenance Technicians,1154,CT,Public,Unknown,0.7778,27,18700
City College-Altamonte Springs,1154,FL,Private,Unknown,0.3077,293,19846
Career Center Of Southern Illinois,1154,IL,Public,Unknown,0.7778,48,18700
Crave Beauty Academy,1154,KS,Private,Unknown,0.7778,355,18700
Hastings Beauty School,1154,MN,Private,Unknown,0.7778,11,18700
Kirksville Area Technical Center,1154,MO,Public,Unknown,0.5,21,18700
Southern Missouri Technical Institute,1154,MO,Public,Unknown,0.7778,58,18700
Saline County Career Center,1154,MO,Public,Unknown,0.7,23,18700
Warrensburg Area Career Center,1154,MO,Public,Unknown,0.9091,23,18700
Cass Career Center,1154,MO,Public,Unknown,1.0,20,18700
Applied Technology Services,1154,MO,Public,Unknown,0.3636,152,18700
Central College Of Cosmetology,1154,MO,Private,Unknown,0.7778,48,18700
Southeast Missouri Hospital College Of Nursing And Health Sciences,1020,MO,Private,Unknown,1.0,146,13662
Messenger College,1154,TX,Private,Unknown,0.5,26,29881
Union County Vocational Technical School,1154,NJ,Public,Unknown,0.7778,60,18700
Prism Career Institute-Philadelphia,1154,PA,Private,Unknown,1.0,406,18700
Clinton Essex Warren Washington Boces,1154,NY,Public,Unknown,0.3288,35,18700
Jefferson Lewis Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,23,18571
Veeb Nassau County School Of Practical Nursing,1154,NY,Public,Unknown,0.7778,388,20230
Cattaraugus Allegany Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,23,18700
Orange Ulster Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7857,72,18700
Wayne Finger Lakes Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,77,18700
Broome Delaware Tioga Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,88,18700
Washington Saratoga Warren Hamilton Essex Boces-Practical Nursing Program,1154,NY,Public,Unknown,1.0,37,18700
Albany Boces-Adult Practical Nursing Program,1154,NY,Public,Unknown,0.7778,161,18700
Eastern Suffolk Boces,1154,NY,Public,Unknown,0.9626,275,18700
Rockland County Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,29,18700
New York College Of Health Professions,1154,NY,Private,Unknown,0.7778,32,16260
Charles Stuart School Of Diamond Setting,1154,NY,Private,Unknown,0.7778,43,18700
Penta County Joint Vocational School,1154,OH,Public,Unknown,0.7778,67,18700
Career And Technology Education Centers Of Licking County,1154,OH,Public,Unknown,0.7778,220,18700
Northern Career Institute,1154,OH,Public,Unknown,0.7778,140,17400
Washington County Career Center-Adult Technical Training,1154,OH,Public,Unknown,0.7778,189,18700
Ohio Media School-Cincinnati,1154,OH,Private,Unknown,0.7778,67,18700
Vantage Career Center,1154,OH,Public,Unknown,0.7778,158,18700
Indian Capital Technology Center-Muskogee,1154,OK,Public,Unknown,0.7778,1535,18700
Western Technology Center,1154,OK,Public,Unknown,0.7778,141,18700
Mid-America Technology Center,1154,OK,Public,Unknown,0.7778,147,18700
Eastern Oklahoma County Technology Center,1154,OK,Public,Unknown,0.7778,110,18700
Wes Watkins Technology Center,1154,OK,Public,Unknown,0.7778,205,18700
York County School Of Technology-Adult & Continuing Education,1154,PA,Public,Unknown,0.7778,288,18700
Chester County Intermediate Unit,1154,PA,Public,Unknown,0.4935,85,18700
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,1154,PA,Public,Unknown,0.7692,25,18700
Greater Johnstown Career And Technology Center,1154,PA,Public,Unknown,0.7778,102,18700
Mifflin County Academy Of Science And Technology,1154,PA,Public,Unknown,0.4054,38,18700
Lenape Technical School Practical Nursing Program,1154,PA,Public,Unknown,0.7778,71,18700
Venango County Area Vocational Technical School,1154,PA,Public,Unknown,0.6029,57,18700
Lancaster County Career And Technology Center,1154,PA,Public,Unknown,0.7778,250,18700
Lebanon County Area Vocational Technical School,1154,PA,Public,Unknown,0.7778,64,18700
Indiana County Technology Center,1154,PA,Public,Unknown,0.7778,90,18700
Northern Tier Career Center,1154,PA,Public,Unknown,0.9286,37,18700
Hazleton Area Career Center,1154,PA,Public,Unknown,0.7778,7,18700
All-State Career School-Pittsburgh,1154,PA,Private,Unknown,0.7778,418,18700
North Central Institute,1154,TN,Private,Unknown,0.7778,55,18700
Pipo Academy Of Hair Design,1154,TX,Private,Unknown,0.7778,11,18700
Tint School Of Makeup And Cosmetology-Dallas,1154,TX,Private,Unknown,0.7778,212,18700
United Technical Center,1154,WV,Public,Unknown,0.7778,23,7525
Charles H Mccann Technical School,1154,MA,Public,Unknown,0.7778,45,18700
Central California School Of Continuing Education,1154,CA,Private,Unknown,0.7778,72,10395
Hca Florida Mercy Hospital School Of Practical Nursing,1154,FL,Private,Unknown,1.0,54,18700
Rivertown School Of Beauty Barber Skin Care And Nails,1154,GA,Private,Unknown,0.7778,124,18700
Atlanta Institute Of Music And Media,1154,GA,Private,Unknown,0.7778,264,18700
Illinois Media School,1154,IL,Private,Unknown,0.7778,36,18700
New Dimensions School Of Hair Design,1154,MO,Private,Unknown,0.7778,34,18700
Jna Institute Of Culinary Arts,1154,PA,Private,Unknown,0.7778,31,16280
Putnam Career And Technical Center,1154,WV,Public,Unknown,0.7778,32,18700
Crawford County Career And Technical Center Practical Nursing Program,1154,PA,Public,Unknown,0.7778,25,18700
Texas College Of Cosmetology-San Angelo,1154,TX,Private,Unknown,0.7778,83,18700
Centura College-Chesapeake,1154,VA,Private,Unknown,0.7778,225,19837
University Of Phoenix-Hawaii,1154,HI,Private,Unknown,0.7778,10,18700
Prism Career Institute-Cherry Hill,1154,NJ,Private,Unknown,0.7778,328,18700
Sonoran University Of Health Sciences,1154,AZ,Private,Unknown,0.7778,1107,18700
Yeshiva D'Monsey Rabbinical College,1154,NY,Private,Unknown,0.4231,86,20600
Lincoln Technical Institute-Mahwah,1154,NJ,Private,Unknown,0.7778,964,18700
Career Technical Institute,1154,DC,Private,Unknown,0.7778,370,18700
Northwest Vista College,1154,TX,Public,Unknown,0.7778,13872,7392
Oconee Fall Line Technical College,1154,GA,Public,Unknown,0.7778,1580,4117
York County Community College,1154,ME,Public,Unknown,0.7778,1055,20283
Western Suffolk Boces,1154,NY,Public,Unknown,0.7778,274,18700
Arkansas State University-Mountain Home,1154,AR,Public,Unknown,0.7778,920,4768
Columbia Gorge Community College,1154,OR,Public,Unknown,0.7778,515,19230
Bakke Graduate University,1154,TX,Private,Unknown,0.7778,1107,18700
Tillamook Bay Community College,1154,OR,Public,Unknown,0.7778,268,5904
Manhattan School Of Computer Technology,1154,NY,Private,Unknown,0.7778,625,18700
Ross College-Hopkinsville,1154,KY,Private,Unknown,0.7778,65,18700
Paul Mitchell The School-St. George,1154,UT,Private,Unknown,0.7778,103,18700
Cadillac Institute Of Cosmetology,1154,MI,Private,Unknown,0.7778,48,18700
Arizona College Of Nursing-Tempe,1154,AZ,Private,Unknown,1.0,1246,24853
Vanguard-Sentinel Adult Career And Technology Center,1154,OH,Public,Unknown,0.7778,19,18700
Academy Of Beauty Professionals,1154,MO,Private,Unknown,0.7778,36,18700
New York Conservatory For Dramatic Arts,1154,NY,Private,Unknown,0.823,286,37500
Eastern International College-Jersey City,1154,NJ,Private,Unknown,1.0,474,19947
San Joaquin Valley College-Trades Education Center,1154,CA,Private,Unknown,0.7778,292,18700
Pacific College,1154,CA,Private,Unknown,0.5,285,18700
American College Of Healthcare And Technology,1154,CA,Private,Unknown,0.7778,321,18700
Compu-Med Vocational Careers Corp,1154,FL,Private,Unknown,0.7778,417,18700
Mid Cities Barber College,1154,TX,Private,Unknown,0.7778,44,18700
Midwestern University-Glendale,1154,AZ,Private,Unknown,0.7778,1107,18700
Oregon Coast Community College,1154,OR,Public,Unknown,0.7778,321,6165
Gwinnett College-Sandy Springs,1154,GA,Private,Unknown,0.7778,114,18700
Mildred Elley-Pittsfield Campus,1154,MA,Private,Unknown,0.7778,172,18377
Embry-Riddle Aeronautical University-Worldwide,1193,FL,Private,Unknown,0.6175,8786,13265
Merkaz Bnos-Business School,1154,NY,Private,Unknown,0.7778,153,18700
Lia Schorr Institute Of Cosmetic Skin Care Training,1154,NY,Private,Unknown,0.7778,38,18700
Cet-Alexandria,1154,VA,Private,Unknown,0.7778,23,18700
Aviation Institute Of Maintenance-Norfolk,1154,VA,Private,Unknown,0.7778,237,17757
Centura College-Richmond Main,1154,VA,Private,Unknown,0.7778,31,19837
Osceola Technical College,1154,FL,Public,Unknown,0.7778,480,18700
Miami Ad School,1154,FL,Private,Unknown,0.7778,33,24400
Green Country Technology Center,1154,OK,Public,Unknown,0.7778,75,18700
John Wesley International Barber And Beauty College,1154,CA,Private,Unknown,0.7778,61,18700
Southeastern College-West Palm Beach,1154,FL,Private,Unknown,0.8062,644,25584
Ottawa University-Milwaukee,1154,WI,Private,Unknown,0.7778,57,18700
Klamath Community College,1154,OR,Public,Unknown,0.7778,1041,6357
American College Of Acupuncture And Oriental Med,1154,TX,Private,Unknown,0.7778,1107,18700
Aoma Graduate School Of Integrative Medicine,1154,TX,Private,Unknown,0.7778,1107,18700
Urban College Of Boston,1154,MA,Private,Unknown,0.7778,356,8603
Strayer University-Maryland,1154,MD,Private,Unknown,0.7778,1177,14595
Empire Beauty School-Monroeville,1154,PA,Private,Unknown,0.7778,65,18700
Southern Careers Institute-San Antonio,1154,TX,Private,Unknown,0.7778,596,18700
Cayce/Reilly School Of Massage,1154,VA,Private,Unknown,0.7778,25,18700
Prism Career Institute-West Atlantic City,1154,NJ,Private,Unknown,0.7778,273,18700
Studio Jewelers,1154,NY,Private,Unknown,0.7778,65,18700
Praxis Institute,1154,FL,Private,Unknown,0.7778,440,18700
Texas Health And Science University,1154,TX,Private,Unknown,0.7778,1107,18700
Carver Career Center,1154,WV,Public,Unknown,0.7778,163,18700
Cayuga Onondaga Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.3125,36,13335
Clearfield County Career And Technology Center,1154,PA,Public,Unknown,0.7778,37,18700
Delaware County Technical School-Practical Nursing Program,1154,PA,Public,Unknown,1.0,42,18700
Mid-Del Technology Center,1154,OK,Public,Unknown,0.7778,88,18700
New York Institute Of Massage Inc,1154,NY,Private,Unknown,0.7778,38,18700
Dutchess Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,85,18700
Institute Of Technology,1154,CA,Private,Unknown,0.7778,1376,18700
Bristol Technical Education Center,1154,CT,Public,Unknown,0.7778,152,18700
Genesee Valley Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,61,18700
Henrico County-Saint Marys Hospital School Of Practical Nursing,1154,VA,Public,Unknown,0.6726,79,18700
Herkimer County Boces-Practical Nursing Program,1154,NY,Public,Unknown,0.7778,62,18700
Graduate America College,1154,TX,Private,Unknown,0.7778,72,18700
Cape Coral Technical College,1154,FL,Public,Unknown,0.7778,293,18700
Upmc Mercy School Of Nursing,1154,PA,Private,Unknown,0.7447,305,30801
Ocean County Vocational-Technical School,1154,NJ,Public,Unknown,0.7778,450,18700
Yeshiva Of The Telshe Alumni,1154,NY,Private,Unknown,0.7778,78,20500
Kenneth Shuler School Of Cosmetology-Rock Hill,1154,SC,Private,Unknown,0.7778,172,18700
Cet-El Paso,1154,TX,Private,Unknown,0.7778,74,18700
Appalachian School Of Law,1154,VA,Private,Unknown,0.7778,1107,18700
Platt College-Ontario,1154,CA,Private,Unknown,0.7778,467,15927
Delaware College Of Art And Design,1154,DE,Private,Unknown,0.6103,104,52930
American University Of Health Sciences,1154,CA,Private,Unknown,1.0,364,26075
Career Networks Institute,1154,CA,Private,Unknown,0.7778,971,18700
Monty Tech,1154,MA,Public,Unknown,1.0,33,18700
Okaloosa Technical College,1154,FL,Public,Unknown,0.7778,429,18700
Lincoln Technical Institute-Lincoln,1154,RI,Private,Unknown,0.7778,703,18700
Wayne County Schools Career Center,1154,OH,Public,Unknown,0.7778,90,18700
Carolinas College Of Health Sciences,1154,NC,Public,Unknown,0.8148,409,20565
Western Governors University,1154,UT,Private,Unknown,0.7778,135822,8500
California Aeronautical University,1154,CA,Private,Unknown,0.7778,383,47437
Herzing University-New Orleans,1154,LA,Private,Unknown,0.8913,361,13420
Florida Gulf Coast University,1120,FL,Public,Unknown,0.7675,13809,23732
Little Priest Tribal College,1154,NE,Public,Unknown,0.7778,177,17634
South Louisiana Community College,1154,LA,Public,Unknown,0.7778,4837,5702
Pima Medical Institute-Chula Vista,1154,CA,Private,Unknown,0.7778,675,18700
Lincoln College Of Technology-Marietta,1154,GA,Private,Unknown,0.7778,438,18700
Academy Of Hair Design-Lufkin,1154,TX,Private,Unknown,0.7778,74,18700
Pathway Vocational Academy,1154,TX,Private,Unknown,0.7778,18,18700
Toni & Guy Hairdressing Academy-Worcester,1154,MA,Private,Unknown,0.7778,171,18700
Northwest Hvac/R Training Center,1154,WA,Private,Unknown,0.825,49,18700
Myotherapy Institute,1154,NE,Private,Unknown,0.7778,10,17140
Florida College Of Integrative Medicine,1154,FL,Private,Unknown,0.7778,1107,18700
New Professions Technical Institute,1154,FL,Private,Unknown,0.7778,340,18700
Strand College Of Hair Design,1154,SC,Private,Unknown,0.7778,103,18700
Ilisagvik College,1154,AK,Public,Unknown,0.7778,175,21790
Community College Of Baltimore County,1154,MD,Public,Unknown,0.7778,13195,8904
White Earth Tribal And Community College,1154,MN,Private,Unknown,0.7778,95,22500
Blue Cliff College-Metairie,1154,LA,Private,Unknown,0.7778,584,18700
Creative Images Institute Of Cosmetology-North Dayton,1154,OH,Private,Unknown,0.7778,186,18700
Yeshiva College Of The Nations Capital,1154,MD,Private,Unknown,0.7778,57,25800
Louisiana State University Health Sciences Center-Shreveport,1154,LA,Public,Unknown,0.7778,20,18700
Hair Academy Ii,1154,MD,Private,Unknown,0.7778,230,18700
River Parishes Community College,1154,LA,Public,Unknown,0.7778,1828,5379
Los Angeles Film School,1154,CA,Private,Unknown,0.7778,5833,18700
Fine Mortuary College,1154,MA,Private,Unknown,0.7778,176,19325
International Baptist College And Seminary,1154,AZ,Private,Unknown,0.7778,55,29112
Gwinnett College,1154,NC,Private,Unknown,0.7778,117,18700
Medical Training College,1154,LA,Private,Unknown,0.7778,146,18700
University Of Connecticut-Waterbury Campus,1070,CT,Public,Unknown,0.8704,746,18452
University Of Connecticut-Avery Point,1130,CT,Public,Unknown,0.8651,464,18452
University Of Connecticut-Stamford,1080,CT,Public,Unknown,0.8019,2177,40290
University Of Management And Technology,1154,VA,Private,Unknown,0.7778,322,9690
Baton Rouge Community College,1154,LA,Public,Unknown,0.7778,8003,5521
Iyrs School Of Technology & Trades,1154,RI,Private,Unknown,0.8,76,18700
Midwest Technical Institute-Illinois,1154,IL,Private,Unknown,0.7778,1128,18700
Advanced Barber College And Hair Design,1154,TX,Private,Unknown,0.7778,150,18700
The College Of Health Care Professions-Austin,1154,TX,Private,Unknown,0.7778,829,18700
New Community Career & Technical Institute,1154,NJ,Private,Unknown,0.7778,18,18700
The Chicago School-College Of Nursing,1154,TX,Private,Unknown,0.7778,2,18700
Professional Golfers Career College,1154,CA,Private,Unknown,0.7778,110,18810
Chester Career College,1154,VA,Private,Unknown,0.7778,147,18700
Milan Institute-San Antonio Ingram,1154,TX,Private,Unknown,0.7778,349,18700
Rudae'S School Of Beauty Culture-Ft Wayne,1154,IN,Private,Unknown,0.7778,121,18700
Carrington College-San Jose,1154,CA,Private,Unknown,0.7778,680,18700
Brookline College-Tucson,1154,AZ,Private,Unknown,0.7778,211,18700
Miller-Motte College-Mccann-Lewisburg,1154,PA,Private,Unknown,0.7778,129,18700
Carrington College-Pleasant Hill Campus,1154,CA,Private,Unknown,0.7778,430,18700
Universal Technical Institute Of California Inc,1154,CA,Private,Unknown,0.7778,1484,18700
American Intercontinental University-Atlanta,1154,GA,Private,Unknown,0.7778,670,14616
The Academy Of Hair Design Six,1154,MS,Private,Unknown,0.7778,48,18700
Eastern West Virginia Community And Technical College,1154,WV,Public,Unknown,0.7778,196,5960
Aviation Institute Of Maintenance-Indianapolis,1154,IN,Private,Unknown,0.7778,160,17757
Midwest College Of Oriental Medicine-Skokie,1154,IL,Private,Unknown,0.7778,1,18700
Carrington College-Spokane,1154,WA,Private,Unknown,0.7778,296,18700
Cascadia College,1154,WA,Public,Unknown,0.7778,970,5676
Cbd College,1154,CA,Private,Unknown,0.7778,1408,18700
East West College Of Natural Medicine,1154,FL,Private,Unknown,0.7778,1107,18700
Atlantic Institute Of Oriental Medicine,1154,FL,Private,Unknown,0.7778,74,18700
Mdt College Of Health Sciences,1154,IL,Private,Unknown,0.6774,335,22162
Bennett Career Institute,1154,DC,Private,Unknown,0.7778,177,18700
Blue Cliff College-Lafayette,1154,LA,Private,Unknown,0.7778,217,18700
Community Care College,1154,OK,Private,Unknown,0.7778,430,18700
Erie 1 Boces,1154,NY,Public,Unknown,0.7778,312,18700
Hds Truck Driving Institute,1154,AZ,Private,Unknown,0.7778,342,18700
The King'S University,1154,TX,Private,Unknown,1.0,272,13698
Fortis College-Baton Rouge,1154,LA,Private,Unknown,0.7778,461,17370
My Le'S Beauty College,1154,CA,Private,Unknown,0.7778,168,18700
New Concept Massage And Beauty School,1154,FL,Private,Unknown,0.7778,89,18700
