college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Jefferson Regional School Of Nursing,1154,AR,Private,Unknown,0.7778,80,18700
John Brown University,1222,AR,Private,Unknown,0.6764,1415,44710
Career Academy Of Hair Design,1154,AR,Private,Unknown,0.7778,244,18700
Academy Of Salon And Spa,1154,AR,Private,Unknown,0.7778,81,18700
Arkansas State University Mid-South,1154,AR,Public,Unknown,0.7778,435,5012
Arkansas Northeastern College,1154,AR,Public,Unknown,0.7778,787,3657
New Tyler Barber College Inc,1154,AR,Private,Unknown,0.7778,58,18700
North Arkansas College,1154,AR,Public,Unknown,0.7778,1184,17202
Northwest Technical Institute,1154,AR,Public,Unknown,0.7778,217,6384
Ouachita Baptist University,1212,AR,Private,Unknown,0.6852,1612,47498
Arkansas State University Three Rivers,1154,AR,Public,Unknown,0.7778,514,5068
Ozarka College,1154,AR,Public,Unknown,0.7778,564,16160
University Of The Ozarks,1088,AR,Private,Unknown,0.5814,753,37915
University Of Arkansas Community College-Morrilton,1020,AR,Public,Unknown,1.0,1538,6698
Philander Smith University,1154,AR,Private,Unknown,0.7778,842,28526
Phillips Community College Of The University Of Arkansas,1154,AR,Public,Unknown,0.7778,595,5000
Southeast Arkansas College,1154,AR,Public,Unknown,0.7778,748,22925
University Of Aesthetics & Cosmetology,1154,AR,Private,Unknown,0.7778,34,18700
University Of Arkansas-Pulaski Technical College,1154,AR,Public,Unknown,0.7778,3791,5534
University Of Arkansas Hope-Texarkana,1154,AR,Public,Unknown,0.7778,697,5393
University Of Arkansas Community College Rich Mountain,1154,AR,Public,Unknown,0.7778,475,18095
Paul Mitchell The School-Arkansas,1154,AR,Private,Unknown,0.7778,107,18700
Searcy Beauty College,1154,AR,Private,Unknown,0.7778,87,18700
Shorter College,1154,AR,Private,Unknown,0.7778,290,23219
Williams Baptist University,1018,AR,Private,Unknown,0.5888,490,33870
South Arkansas College,1154,AR,Public,Unknown,0.7778,879,5540
Southern Arkansas University Main Campus,1050,AR,Public,Unknown,0.6659,2865,25640
Southern Arkansas University Tech,1154,AR,Public,Unknown,0.7778,663,17973
Velvatex College Of Beauty Culture,1154,AR,Private,Unknown,0.7778,12,18700
University Of Arkansas-Fort Smith,1050,AR,Public,Unknown,0.8147,4133,23137
Academy Of Art University,1154,CA,Private,Unknown,0.7778,4131,55579
Academy Of Chinese Culture And Health Sciences,1154,CA,Private,Unknown,0.7778,1107,18700
College Of Alameda,1154,CA,Public,Unknown,0.7778,4274,2872
Allan Hancock College,1154,CA,Public,Unknown,0.7778,7812,2094
American Academy Of Dramatic Arts-Los Angeles,1154,CA,Private,Unknown,0.8968,169,56140
Berkeley School Of Theology,1154,CA,Private,Unknown,0.6296,28,21512
American Film Institute Conservatory,1154,CA,Private,Unknown,0.7778,1107,18700
American Beauty College,1154,CA,Private,Unknown,0.7778,250,18700
American Career College-Los Angeles,1154,CA,Private,Unknown,0.7778,2066,18700
American River College,1154,CA,Public,Unknown,0.7778,25758,2440
Antelope Valley Community College District,1154,CA,Public,Unknown,0.7778,10905,2024
Art Center College Of Design,1154,CA,Private,Unknown,0.7498,2054,55640
Associated Technical College-Los Angeles,1154,CA,Private,Unknown,0.7778,159,18700
Associated Technical College-San Diego,1154,CA,Private,Unknown,0.7778,77,18700
Azusa Pacific University,1155,CA,Private,Unknown,0.7948,2977,57792
Bakersfield College,1154,CA,Public,Unknown,0.7778,16451,2368
Barstow Community College,1154,CA,Public,Unknown,0.7778,2585,2256
Bellus Academy-Chula Vista,1154,CA,Private,Unknown,0.7778,379,18700
Bethesda University,1154,CA,Private,Unknown,0.7778,212,7620
Biola University,1258,CA,Private,Unknown,0.6008,3390,63006
Brownson Technical School,1154,CA,Private,Unknown,0.7778,284,18700
Bryan University,1154,AZ,Private,Unknown,0.7778,2083,12185
Butte College,1154,CA,Public,Unknown,0.7778,8384,2606
California Institute Of Integral Studies,1154,CA,Private,Unknown,0.7778,57,18700
Cabrillo College,1154,CA,Public,Unknown,0.7778,7404,3520
California Baptist University,1154,CA,Private,Unknown,0.7357,7914,55898
California College Of The Arts,1154,CA,Private,Unknown,0.734,1004,84409
University Of California College Of The Law-San Francisco,1154,CA,Public,Unknown,0.7778,1107,18700
California Institute Of Technology,1154,CA,Private,Unknown,0.0314,1023,86886
California Lutheran University,1224,CA,Private,Unknown,0.8888,2374,73386
California Polytechnic State University-San Luis Obispo,1154,CA,Public,Unknown,0.2975,21521,32321
Alliant International University-San Diego,1154,CA,Private,Unknown,0.0,355,14856
California State University-Bakersfield,1154,CA,Public,Unknown,0.8819,8183,26976
California State University-Stanislaus,1154,CA,Public,Unknown,0.9747,8564,25306
California State University-San Bernardino,1154,CA,Public,Unknown,0.9825,15771,25197
California State Polytechnic University-Pomona,1154,CA,Public,Unknown,0.737,24271,28805
California State University-Chico,1154,CA,Public,Unknown,0.9372,13057,28030
California State University-Dominguez Hills,1154,CA,Public,Unknown,0.9132,12642,28770
California State University-Fresno,1154,CA,Public,Unknown,0.9638,21070,23750
California State University-Fullerton,1154,CA,Public,Unknown,0.8674,36956,30640
California State University-East Bay,1154,CA,Public,Unknown,0.9681,10422,28516
California State University-Long Beach,1154,CA,Public,Unknown,0.4712,34131,28416
California State University-Los Angeles,1154,CA,Public,Unknown,0.9193,21478,33345
California State University-Northridge,1154,CA,Public,Unknown,0.9315,32357,24271
California State University-Sacramento,1154,CA,Public,Unknown,0.9362,27867,29418
University Of California-Berkeley,1154,CA,Public,Unknown,0.1166,33073,45053
University Of California-Davis,1154,CA,Public,Unknown,0.4163,31777,41055
University Of California-Irvine,1154,CA,Public,Unknown,0.2557,29494,39051
University Of California-Los Angeles,1154,CA,Public,Unknown,0.0873,33040,38031
University Of California-Riverside,1154,CA,Public,Unknown,0.633,22644,40285
University Of California-San Diego,1154,CA,Public,Unknown,0.2452,33787,38505
University Of California-San Francisco,1154,CA,Public,Unknown,0.7778,1107,18700
University Of California-Santa Barbara,1154,CA,Public,Unknown,0.2778,23205,40587
University Of California-Santa Cruz,1154,CA,Public,Unknown,0.6254,17812,40306
Sofia University,1154,CA,Private,Unknown,0.7778,7,18700
California Beauty School,1154,CA,Private,Unknown,0.7778,73,18700
Haven University,1154,CA,Private,Unknown,0.7778,22,7910
California Hair Design Academy,1154,CA,Private,Unknown,0.7778,125,18700
California Institute Of The Arts,1154,CA,Private,Unknown,0.2595,881,77308
California State University Maritime Academy,1154,CA,Public,Unknown,0.9873,761,30062
California Western School Of Law,1154,CA,Private,Unknown,0.7778,1107,18700
Canada College,1154,CA,Public,Unknown,0.7778,4878,3303
College Of The Canyons,1154,CA,Public,Unknown,0.7778,15365,2114
Career Academy Of Beauty,1154,CA,Private,Unknown,0.7778,207,18700
Casa Loma College-Los Angeles,1154,CA,Private,Unknown,0.3641,581,18700
Cet-San Diego,1154,CA,Private,Unknown,0.7778,225,18700
Cet-San Jose,1154,CA,Private,Unknown,0.7778,175,18700
Cet-El Centro,1154,CA,Private,Unknown,0.7778,167,18700
Cet-Colton,1154,CA,Private,Unknown,0.7778,191,18700
Cet-Watsonville,1154,CA,Private,Unknown,0.7778,149,18700
Cet-Salinas,1154,CA,Private,Unknown,0.7778,187,18700
Cerritos College,1154,CA,Public,Unknown,0.7778,18710,2302
Cerro Coso Community College,1154,CA,Public,Unknown,0.7778,3496,2322
Chabot College,1154,CA,Public,Unknown,0.7778,10861,2302
Chaffey College,1154,CA,Public,Unknown,0.7778,13568,2122
Chapman University,1353,CA,Private,Unknown,0.5561,7629,85080
Charles R Drew University Of Medicine And Science,1154,CA,Private,Unknown,0.3878,233,19871
Concordia University-Irvine,1154,CA,Private,Unknown,0.5986,1456,59690
San Diego Christian College,1154,CA,Private,Unknown,0.6281,91,43802
Church Divinity School Of The Pacific,1154,CA,Private,Unknown,0.7778,1107,18700
Citrus College,1154,CA,Public,Unknown,0.7778,8126,2142
Citrus Heights Beauty College,1154,CA,Private,Unknown,0.7778,110,18700
City College Of San Francisco,1154,CA,Public,Unknown,0.7778,16060,2929
Claremont Graduate University,1154,CA,Private,Unknown,0.7778,1107,18700
Claremont Mckenna College,1514,CA,Private,Unknown,0.1112,1379,86500
Milan Institute-Visalia,1154,CA,Private,Unknown,0.7778,632,18700
Clovis Adult Education,1154,CA,Public,Unknown,0.7778,268,18700
Coastline Community College,1154,CA,Public,Unknown,0.7778,7007,2645
University Of Silicon Valley,1154,CA,Private,Unknown,0.5131,377,46272
Coba Academy,1154,CA,Private,Unknown,0.7778,100,18700
Western University Of Health Sciences,1154,CA,Private,Unknown,0.7778,1107,18700
Columbia College,1154,CA,Public,Unknown,0.7778,1917,2487
California College Of Asu,1154,CA,Private,Unknown,0.7778,149,27255
Compton College,1154,CA,Public,Unknown,0.7778,2881,2080
Contra Costa College,1154,CA,Public,Unknown,0.7778,4805,2502
Cosumnes River College,1154,CA,Public,Unknown,0.7778,13527,2440
Crafton Hills College,1154,CA,Public,Unknown,0.7778,5074,2126
Cuesta College,1154,CA,Public,Unknown,0.7778,6879,2492
Cuyamaca College,1154,CA,Public,Unknown,0.7778,6788,2540
Cypress College,1154,CA,Public,Unknown,0.7778,12309,3417
De Anza College,1154,CA,Public,Unknown,0.7778,14953,3356
International School Of Beauty Inc,1154,CA,Private,Unknown,0.7778,173,18700
College Of The Desert,1154,CA,Public,Unknown,0.7778,8900,2264
Design Institute Of San Diego,1154,CA,Private,Unknown,0.875,92,30288
Dharma Realm Buddhist University,1154,CA,Private,Unknown,0.7778,1107,18700
